epoch,step,train_loss,val_loss
0,49,0.24654236435890198,
0,99,0.19247667491436005,
0,149,0.44151169061660767,
0,199,0.3382761478424072,
0,249,0.44253507256507874,
0,299,0.18758264183998108,
0,349,0.05021364986896515,
0,399,0.29239585995674133,
0,449,0.20052310824394226,
0,499,0.18746182322502136,
0,549,0.20685064792633057,
0,599,0.2460165023803711,
0,649,0.22278693318367004,
0,699,0.11782531440258026,
0,749,0.2147427797317505,
0,799,0.15186753869056702,
0,849,0.15970245003700256,
0,899,0.05139051750302315,
0,937,,0.1673872172832489
1,949,0.15558864176273346,
1,999,0.03265422210097313,
1,1049,0.09637562185525894,
1,1099,0.034554291516542435,
1,1149,0.18349851667881012,
1,1199,0.2798449695110321,
1,1249,0.08835340291261673,
1,1299,0.05484951660037041,
1,1349,0.11851929128170013,
1,1399,0.03546987846493721,
1,1449,0.13807448744773865,
1,1499,0.07897883653640747,
1,1549,0.09630917757749557,
1,1599,0.22398622334003448,
1,1649,0.05310654267668724,
1,1699,0.015293845906853676,
1,1749,0.059049323201179504,
1,1799,0.03700586408376694,
1,1849,0.015102691017091274,
1,1875,,0.1098821759223938
2,1899,0.07809916138648987,
2,1949,0.043568242341279984,
2,1999,0.05281132459640503,
2,2049,0.03550465777516365,
2,2099,0.11763256043195724,
2,2149,0.09846817702054977,
2,2199,0.17997141182422638,
2,2249,0.10130555182695389,
2,2299,0.060308169573545456,
2,2349,0.020298009738326073,
2,2399,0.04145041108131409,
2,2449,0.06426192075014114,
2,2499,0.08338106423616409,
2,2549,0.07588572800159454,
2,2599,0.11717670410871506,
2,2649,0.08739884197711945,
2,2699,0.15235531330108643,
2,2749,0.14235952496528625,
2,2799,0.003509916365146637,
2,2813,,0.09355883300304413
3,2849,0.006605683360248804,
3,2899,0.030723175033926964,
3,2949,0.05830235779285431,
3,2999,0.06049027293920517,
3,3049,0.01873459480702877,
3,3099,0.13659723103046417,
3,3149,0.037023402750492096,
3,3199,0.050940535962581635,
3,3249,0.21732571721076965,
3,3299,0.06722193956375122,
3,3349,0.003007259452715516,
3,3399,0.10008387267589569,
3,3449,0.01309488620609045,
3,3499,0.09621591866016388,
3,3549,0.03271838277578354,
3,3599,0.023337891325354576,
3,3649,0.08154803514480591,
3,3699,0.03589266166090965,
3,3749,0.00035360080073587596,
3,3751,,0.1002960354089737
4,3799,0.04604953154921532,
4,3849,0.10430938005447388,
4,3899,0.025457708165049553,
4,3949,0.020724080502986908,
4,3999,0.01715562492609024,
4,4049,0.004429980646818876,
4,4099,0.011085879988968372,
4,4149,0.00456222565844655,
4,4199,0.1082233116030693,
4,4249,0.02122443914413452,
4,4299,0.07372967898845673,
4,4349,0.017883412539958954,
4,4399,0.13896097242832184,
4,4449,0.04179271310567856,
4,4499,0.018147900700569153,
4,4549,0.0017774524167180061,
4,4599,0.017718231305480003,
4,4649,0.037414874881505966,
4,4689,,0.09550429880619049
5,4699,0.07044664025306702,
5,4749,0.040950845927000046,
5,4799,0.0810835137963295,
5,4849,0.08949481695890427,
