epsilon,accuracy
0.0,0.9554
1e-10,0.9554
2e-10,0.9554
3e-10,0.9554
4e-10,0.9554
5e-10,0.9554
6e-10,0.9554
7e-10,0.9554
8e-10,0.9554
9e-10,0.9554
